[2026-06-13 16:13:36] ADMIN: 113980311909370790584 | ACTION: Create Carousel Banner | RESOURCE: N/A | DETAILS: Carousel(id=null, title=Cax details, description=What you can do with cax, imageUrl=https://pub-6d28afd560b0498d9fea3f401d07e798.r2.dev/carousel/113980311909370790584/b86ffddc-defe-4fe9-ac29-a638adbad554.png, actionUrl=null, actionLink=null, type=BANNER, designType=image_only, displayOrder=0, isActive=true, collegeId=null, targetAudience=null, createdBy=null, views=0, clicks=0, createdAt=2026-06-13T10:43:35.965893Z, updatedAt=null, expiresAt=null) | STATUS: SUCCESS
[2026-06-13 16:15:54] ADMIN: 113980311909370790584 | ACTION: Update Carousel Banner | RESOURCE: 6a2d3457d8bda978ff75b14c | DETAILS: Carousel(id=null, title=Cax details, description=What you can do with cax, imageUrl=https://pub-6d28afd560b0498d9fea3f401d07e798.r2.dev/carousel/113980311909370790584/7ced6f1d-6e6c-4a2c-bed2-696a0fd3a3fa.png, actionUrl=null, actionLink=null, type=BANNER, designType=image_only, displayOrder=0, isActive=true, collegeId=null, targetAudience=null, createdBy=null, views=0, clicks=0, createdAt=2026-06-13T10:45:54.574937Z, updatedAt=null, expiresAt=null) | STATUS: SUCCESS
[2026-06-13 20:53:13] ADMIN: 113980311909370790584 | ACTION: Update User Role | RESOURCE: 105824617734257710817 | DETAILS: N/A | STATUS: SUCCESS
[2026-06-13 20:55:47] ADMIN: 113980311909370790584 | ACTION: Update User Role | RESOURCE: 105824617734257710817 | DETAILS: N/A | STATUS: SUCCESS
[2026-06-15 21:50:42] ADMIN: 113980311909370790584 | ACTION: Verify ID Card | RESOURCE: 115867407530479766683 | DETAILS: {verificationNotes=} | STATUS: SUCCESS
[2026-06-20 09:29:39] ADMIN: 113980311909370790584 | ACTION: Update Ad | RESOURCE: 6a26d3d332cb1b50e8119f4c | DETAILS: Ad(id=null, adId=Info, title=Beta Notice, imageUrl=https://pub-6d28afd560b0498d9fea3f401d07e798.r2.dev/ads/admin_user/7f2e3782-fe54-4dd9-ae9b-0471f3549b2c.png, redirectUrl=https://caxone.in, active=true, global=true, collegeId=null, maxViewsPerUser=100, closeTimerSeconds=2, totalImpressions=0, totalClicks=0, createdAt=2026-06-20T03:59:39.395074Z, updatedAt=null) | STATUS: SUCCESS
[2026-06-20 12:31:39] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=12.0.2, minRequiredVersion=12.0.2, latestBuildNumber=1, minRequiredBuildNumber=1, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=) | STATUS: SUCCESS
[2026-06-20 12:32:05] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=12.0.2, minRequiredVersion=12.0.2, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=) | STATUS: SUCCESS
[2026-06-20 12:32:39] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=13.0.2, minRequiredVersion=12.0.2, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=) | STATUS: SUCCESS
[2026-06-20 12:33:03] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=13.0.2, minRequiredVersion=12.0.2, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=https://play.google.com/store/apps/details?id=com.axiviontech.cax) | STATUS: SUCCESS
[2026-06-20 12:35:33] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=12.0.2, minRequiredVersion=12.0.2, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=https://play.google.com/store/apps/details?id=com.axiviontech.cax) | STATUS: SUCCESS
[2026-06-20 12:36:48] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=12.0.1, minRequiredVersion=12.0.2, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=https://play.google.com/store/apps/details?id=com.axiviontech.cax) | STATUS: SUCCESS
[2026-06-20 12:36:51] ADMIN: 113980311909370790584 | ACTION: Update App Version Settings | RESOURCE: N/A | DETAILS: VersionSettingsRequest(latestVersion=12.0.1, minRequiredVersion=12.0.1, latestBuildNumber=57, minRequiredBuildNumber=57, updateMessage=A new version of CAX is available. Please update to continue., storeUrl=https://play.google.com/store/apps/details?id=com.axiviontech.cax) | STATUS: SUCCESS
